review,cleaned_review,sentiment_nb,sentiment_nn,sentiment_final,confidence
"saya puas dgn produk MSI, mantap dan saya selalu mendapat  layanan prima. saya sudah mulai berlanggan 21 Juli 2022 (MSI Modern 14 B11MOU) hingga 06 September 2025 (Modern... ",saya puas dgn produk msi mantap dan saya selalu mendapat layanan prima saya sudah mulai berlanggan juli msi modern bmou hingga september modern,positive,positive,positive,0.9620646064687188
barang dateng aku senang,barang dateng aku senang,negative,positive,positive,0.47933694974359664
barang sesuai deskripsi. sejauh ini gak ada masalah. thx,barang sesuai deskripsi sejauh ini gak ada masalah thx,negative,negative,negative,0.8055533627955476
"build quality msih kalah sama lenovo,tpi spek dan harga masih terbaik ini 👍👍👍👍",build quality msih kalah sama lenovo tpi spek dan harga masih terbaik ini,neutral,negative,negative,0.6487133271091515
"Nemu harta karun buat bocah.
Ngak disangka dapet harga segini.
Seller Top Banget Dah.
Pengiriman OK
Barang Dahsyat Banget",nemu harta karun buat bocah ngak disangka dapet harga segini seller top banget dah pengiriman ok barang dahsyat banget,neutral,negative,neutral,0.6156736077597726
"sesuai expektasi, mantap",sesuai expektasi mantap,positive,positive,positive,0.8974028028954948
sesuai,sesuai,positive,negative,negative,0.43754246522039664
"waktu instal cepat. responsif... ringan,",waktu instal cepat responsif ringan,positive,negative,negative,0.49105382594134284
"barang ok, cs dan staff saat pickup ramah dan helpful",barang ok cs dan staff saat pickup ramah dan helpful,positive,neutral,positive,0.5063368756473092
"Oke banget cepet sampainya, ga perlu tanbah packing kayu udh aman. Cuma dari laptopnya sendiri agak cepet panas yah harus beli cooling pad laptop nih:”",oke banget cepet sampainya ga perlu tanbah packing kayu udh aman cuma dari laptopnya sendiri agak cepet panas yah harus beli cooling pad laptop nih,positive,positive,positive,0.9742797258032517
"barangnya bagus banget, reseller juga ramah dan fast respond",barangnya bagus banget reseller juga ramah dan fast respond,positive,positive,positive,0.952801964729407
"Sempat ada Kendala, karena ingin cepat akhirnya saya bawa ketokonya, dan alhamdullilah sudah terselesaikan, semoga kedepannya, tim teknis toko dapat mengecek kembali pesa... ",sempat ada kendala karena ingin cepat akhirnya saya bawa ketokonya dan alhamdullilah sudah terselesaikan semoga kedepannya tim teknis toko dapat mengecek kembali pesa,positive,positive,positive,0.9731615902853297
"so far baik-baik aja, seller responsif, dan sangat membantu kalo ada masalah,

trusted, mau ngelayanin pertanyaan detil dari pembeli",so far baikbaik aja seller responsif dan sangat membantu kalo ada masalah trusted mau ngelayanin pertanyaan detil dari pembeli,positive,positive,positive,0.7891598028420858
"Packaging oke, Spesifikasi²nya sesuai dengan yang tertera, Untuk pemakaiannya juga oke banget",packaging oke spesifikasinya sesuai dengan yang tertera untuk pemakaiannya juga oke banget,positive,neutral,neutral,0.6111801319366752
"sejauh ini ga ada masalah, admin fast responses. semoga no trouble yaa, thanks",sejauh ini ga ada masalah admin fast responses semoga no trouble yaa thanks,positive,negative,negative,0.6034132695087724
Sdh langganan yang ketiga...mantap,sdh langganan yang ketiga mantap,positive,positive,positive,0.6447852139025012
laptop sdh dicoba dan berjalan normal.,laptop sdh dicoba dan berjalan normal,positive,positive,positive,0.8405114493390988
"Barang dikemas dengan baik dan tidak perlu kuatir kena hujam karena dibungkan plastik 2 lapis,  dan dikirim tepat waktu.",barang dikemas dengan baik dan tidak perlu kuatir kena hujam karena dibungkan plastik lapis dan dikirim tepat waktu,positive,positive,positive,0.7224291898190973
mantaaaappp,mantaaaappp,positive,neutral,neutral,0.46224870949323654
"T O P 👍🏻 
Seller fast respond, gercep. Barang lengkap, OK ⭐️⭐️⭐️⭐️⭐️",t o p seller fast respond gercep barang lengkap ok,negative,negative,negative,0.6058036792221145
"setelah update terbaru, driver Intel Arc sekarang lebih baik jalan di di TDP 10W, bisa jalan 40-50 fps setelah coba di beberapa game AAA kalau pakai XeSS bisa lebih",setelah update terbaru driver intel arc sekarang lebih baik jalan di di tdp w bisa jalan fps setelah coba di beberapa game aaa kalau pakai xess bisa lebih,neutral,neutral,neutral,0.9087639687779667
"respon cepat dan barang sesuai deskripsi, berjalan normal, berfungsi baik. Langganan",respon cepat dan barang sesuai deskripsi berjalan normal berfungsi baik langganan,neutral,neutral,neutral,0.6109349075465285
Oke mantap barang sesuai,oke mantap barang sesuai,positive,neutral,positive,0.5275514430351758
mantap semoga gk rewell,mantap semoga gk rewell,positive,positive,positive,0.9665508329341086
"barang bagus...👍🏻
pengiriman cepat...👍🏻
puas dgn layanan nya 😁🙏🏻",barang bagus pengiriman cepat puas dgn layanan nya,negative,neutral,neutral,0.708095791679743
"Produk mantap, pelayanan dan respon cepet, rekomen banget",produk mantap pelayanan dan respon cepet rekomen banget,positive,positive,positive,0.9877530250261113
diterima dengan baik. mantab. barang berfungsi dengan baik.,diterima dengan baik mantab barang berfungsi dengan baik,positive,positive,positive,0.8269225627077815
"Barang asli ,sesuai dengan pesanan ,produk mulus",barang asli sesuai dengan pesanan produk mulus,neutral,negative,neutral,0.47864648378901475
"Perfecta handheld console para mi.. good performa, sleek design, good build quality. Pelayanan toko-nya juga bagus banget, ramah dan cepat.. 👌🏼👌🏼",perfecta handheld console para mi good performa sleek design good build quality pelayanan tokonya juga bagus banget ramah dan cepat,positive,neutral,neutral,0.6478221558319966
"durasi unboxing kepanjangan gk bisa keupload min, btw barang dateng puas tidak ada minus. Adminnya ramah untuk customer yg banyak nanya kek saya 🤍",durasi unboxing kepanjangan gk bisa keupload min btw barang dateng puas tidak ada minus adminnya ramah untuk customer yg banyak nanya kek saya,negative,negative,negative,0.8981007061954667
"Pengiriman “kurir toko” tapi suruh ambil sendiri, ditengah demo huru hara pula",pengiriman kurir toko tapi suruh ambil sendiri ditengah demo huru hara pula,negative,neutral,neutral,0.7828423212769373
good performance,good performance,neutral,neutral,neutral,0.7371996907063225
barang sudah sampe dan aman cuma minusnya pengiriman yang agak lama 😅,barang sudah sampe dan aman cuma minusnya pengiriman yang agak lama,neutral,neutral,neutral,0.5722413239624623
"Entah order yg ke berapa kali, sdh tdk ingat, yg jelas kualitas tetap terjaga tanpa pernah komplain. sayangnya gak pernah kasih gift sebagai award. recommanded seller pok... ",entah order yg ke berapa kali sdh tdk ingat yg jelas kualitas tetap terjaga tanpa pernah komplain sayangnya gak pernah kasih gift sebagai award recommanded seller pok,negative,negative,negative,0.9989395203629021
barangnya bagus. sangat direkomendasikan,barangnya bagus sangat direkomendasikan,positive,positive,positive,0.8125219994689152
Reviewnya udah tayang di channelku Youtubeku @bangripiu 😌,reviewnya udah tayang di channelku youtubeku bangripiu,neutral,neutral,neutral,0.781397426550853
"sipp, sesuai ekspektasi. pas dapat harga murce",sipp sesuai ekspektasi pas dapat harga murce,neutral,negative,negative,0.580496486270151
"datang dengan kualitas prima tanpa cacat, RAM sesuai, dan bisa klaim OHS.",datang dengan kualitas prima tanpa cacat ram sesuai dan bisa klaim ohs,positive,positive,positive,0.78550982442033
Barang sesuai deskripsi dan dikemas dengan baik,barang sesuai deskripsi dan dikemas dengan baik,positive,positive,positive,0.585572852173899
Mantapp barang baguss laptop orii,mantapp barang baguss laptop orii,negative,neutral,neutral,0.48591481195544506
"KEREN NO KOMEN, DIPAKE MAEN GAMES KEBUT, DIPAKE TRADINGAN APALAGI, THE BEST MSI CLAW 8AI+",keren no komen dipake maen games kebut dipake tradingan apalagi the best msi claw ai,positive,positive,positive,0.8603621451554784
The best pokoknya,the best pokoknya,positive,positive,positive,0.7936798592476269
Sempet bermasalah dapet yang gagal product sampai hrus ke pusat ganti bolak balik 3x,sempet bermasalah dapet yang gagal product sampai hrus ke pusat ganti bolak balik x,neutral,negative,negative,0.5247243877150509
good. cuma di gambar bonus tws. tp gak dapat,good cuma di gambar bonus tws tp gak dapat,neutral,neutral,neutral,0.9162630655280843
mantab.. sesuai pesanan,mantab sesuai pesanan,positive,positive,positive,0.6899593025358336
pengiriman tepat waktu meski jakarta lagi demo. unit segel. garansi resmi,pengiriman tepat waktu meski jakarta lagi demo unit segel garansi resmi,neutral,neutral,neutral,0.7403072377290607
sangat baik dengan harga yg kompetitif dengan brand lain,sangat baik dengan harga yg kompetitif dengan brand lain,negative,negative,negative,0.6133560422237105
Mantapu Jiwa Raga Indonesia Raya Merdeka,mantapu jiwa raga indonesia raya merdeka,positive,neutral,positive,0.5205172987410747
"mantab bosku!! 
Cepat sampai... produk original.. recomended seller....",mantab bosku cepat sampai produk original recomended seller,positive,neutral,positive,0.4630037889081556
barangnya sesuai tanpa lecet dan kurir tepat waktu,barangnya sesuai tanpa lecet dan kurir tepat waktu,positive,neutral,neutral,0.629956604002402
"Setelag dipakai kerja, kualitas dan performanya optimal.Ringan dan desainnya mewah..
packing rapi dan cepat
Tks seller untuk pelayanannya",setelag dipakai kerja kualitas dan performanya optimal ringan dan desainnya mewah packing rapi dan cepat tks seller untuk pelayanannya,positive,neutral,neutral,0.5478366803985697
